Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,Pos Summary
16,Francisco Rodríguez,3,40,10.2,124,16,16,24.2,17.6,20.9,31.6,437,2,0,1,0,0,0,0,.500,.500,.500,1.000,178,52,53,2.86,148,1.155,948,0,437,976.0,738,98,389,1142,*1
17,David Wright,2,32,8.1,74,36,14,49.1,39.5,44.3,56.1,1585,5998,949,1777,242,970,196,762,.296,.376,.491,.867,133,,,,,,,,,,,,,,*5/HD6
18,Torii Hunter,5,20,5.1,58,34,19,50.6,30.8,40.7,58.0,2372,8857,1296,2452,353,1391,195,661,.277,.331,.461,.793,110,,,,,,,,,,,,,,*8*9DH/7
19,X-Ian Kinsler,1,10,2.5,67,35,14,53.8,38.4,46.1,56.9,1888,7423,1243,1999,257,909,243,693,.269,.337,.440,.777,107,0,0,0.00,,3.000,1,0,0,1.0,1,0,2,0,*4DH/51
20,X-Russell Martin,1,9,2.3,54,30,14,38.6,27.1,32.8,44.3,1693,5701,803,1416,191,771,101,792,.248,.349,.397,.746,101,0,0,0.00,,0.500,4,0,0,4.0,2,0,0,2,*2H5/D41679
21,X-Brian McCann,1,7,1.8,84,35,15,31.6,24.4,28,44.3,1755,6067,742,1590,282,1018,25,640,.262,.337,.452,.789,110,,,,,,,,,,,,,,*2HD/3
22,X-Troy Tulowitzki,1,4,1,46,35,13,44.8,40.3,42.5,55.4,1291,4804,762,1391,225,780,57,511,.290,.361,.495,.856,118,,,,,,,,,,,,,,*6/HD
23,X-Adam Jones,1,3,0.8,36,19,14,32.5,25.5,29,58.0,1823,7009,963,1939,282,945,97,340,.277,.317,.454,.771,106,,,,,,,,,,,,,,*89H/7D
24,X-Curtis Granderson,1,3,0.8,61,28,16,47.4,34.8,41.1,58.0,2057,7236,1217,1800,344,937,153,924,.249,.337,.465,.803,113,,,,,,,,,,,,,,*8*97HD
25,X-Carlos González,1,2,0.5,44,22,12,24.5,23.9,24.2,53.5,1377,5033,821,1432,234,785,122,448,.285,.343,.500,.843,112,,,,,,,,,,,,,,*9*78H/D
26,X-Ben Zobrist,1,0,0,22,23,14,44.7,39.6,42.2,56.9,1651,5880,884,1566,167,768,116,832,.266,.357,.426,.783,113,0,0,0.00,,2.000,1,0,0,1.0,0,0,2,1,*4*967H8/D351
27,X-Fernando Rodney,1,0,0,86,7,17,7.5,8.3,7.9,31.6,227,1,0,0,0,0,0,0,.000,.000,.000,.000,-100,48,71,3.80,110,1.373,951,0,327,933.0,817,73,464,943,*1
28,X-Hanley Ramírez,1,0,0,64,36,15,38.2,35.1,36.7,55.4,1668,6349,1049,1834,271,917,281,660,.289,.360,.486,.847,124,,,,,,,,,,,,,,*6D357H
